,feature_1,feature_2,feature_3,feature_4,feature_5
32,0.604496211,0.079468639,0.788628691,0.707276051,0.781299038
33,0.19769236,0.480079378,0.450626033,0.34324766,0.330525868
34,0.09216327,0.039796749,0.67376144,0.990395369,0.544855973
35,0.424693391,0.637035695,0.95964135,0.12142938,0.104313494
36,0.196305148,0.525671193,0.587966173,0.490996419,0.682910578
37,0.062661709,0.030944204,0.285485272,0.480443391,0.282097566
38,0.865841094,0.973274505,0.989011208,0.443015905,0.321399741
39,0.350520709,0.201653871,0.110883361,0.521890883,0.369048202
40,0.212298921,0.849010872,0.150415707,0.571566146,0.098421105
41,0.719270782,0.870591058,0.495173172,0.794922778,0.988186665
42,0.912723057,0.513734498,0.408953533,0.281219432,0.760462593
43,0.904704218,0.260097551,0.431347055,0.865271032,0.192561452
44,0.873153102,0.978576374,0.282865911,0.846908229,0.877310456
45,0.815640496,0.956022246,0.896542138,0.141911439,0.679700691
46,0.845160847,0.055118577,0.871401113,0.207907848,0.481735823
47,0.144542502,0.989009403,0.196542109,0.882116136,0.617289636
48,0.628043007,0.839161792,0.642684648,0.941111027,0.579169399
49,0.111159069,0.514274817,0.895755798,0.087623271,0.323247329
50,0.873322865,0.724849476,0.696840626,0.817289552,0.718470867
51,0.684592803,0.524635452,0.540719937,0.026710564,0.449259181
52,0.119738912,0.560361437,0.226015208,0.030174105,0.646349439
53,0.119657329,0.229604811,0.472361929,0.145827154,0.357734048
54,0.162710557,0.605840091,0.359927334,0.769870418,0.885667443
55,0.262791707,0.410711174,0.93493187,0.043688336,0.373224935
56,0.239990707,0.181551509,0.373512546,0.728529108,0.534486747
57,0.813380363,0.211532605,0.493966459,0.334204319,0.930276977
58,0.238260798,0.082713007,0.931539675,0.462318658,0.937143672
59,0.936447256,0.781634047,0.091216806,0.106667777,0.993913977
60,0.949191107,0.464895364,0.673569499,0.261641587,0.79599407
61,0.130831698,0.496883488,0.614446981,0.743928194,0.130975856
62,0.265484224,0.317085532,0.644974784,0.025245148,0.407978414
63,0.234222157,0.830356709,0.255872867,0.773392264,0.307930274
64,0.744444927,0.29454014,0.47416393,0.044356148,0.845673638
65,0.158326789,0.328644483,0.964158444,0.504896814,0.383173161
66,0.709758659,0.74465006,0.732561963,0.780820838,0.129763307
67,0.500081338,0.897449952,0.503490548,0.159184661,0.367979384
68,0.119540865,0.36718759,0.562634672,0.67539425,0.425705497
69,0.568279683,0.53157597,0.972171565,0.177410337,0.873900381
70,0.251671663,0.244619393,0.803092882,0.901999757,0.862802113
71,0.886768115,0.974092741,0.541741475,0.136895574,0.9172069
72,0.489843103,0.089023853,0.974757785,0.540095634,0.889400281
73,0.596731084,0.453318661,0.604847063,0.872881409,0.766450145
74,0.090972919,0.964562084,0.610185736,0.838887592,0.250197319
75,0.425866457,0.604229328,0.348671918,0.765356136,0.281683378
76,0.247597525,0.772165738,0.702941451,0.925706668,0.878739062
77,0.970448181,0.306615454,0.144259433,0.677023422,0.930308106
78,0.574593074,0.903743367,0.151974743,0.600426998,0.172111044
79,0.779723621,0.182224956,0.485435868,0.848665155,0.458064533
80,0.465700164,0.919868944,0.428297074,0.666385903,0.858992421
81,0.238107149,0.362532169,0.975778894,0.897680075,0.106859256
82,0.307235068,0.41045107,0.66749438,0.02195155,0.312075967
83,0.358085613,0.300801119,0.196727807,0.346741536,0.690542802
84,0.634274771,0.015400528,0.280541527,0.395644095,0.175903703
85,0.363905178,0.970672529,0.030734454,0.950243206,0.745204378
86,0.061323878,0.372281926,0.140028414,0.528501198,0.436800492
87,0.705265305,0.516019691,0.661262503,0.550039216,0.602679529
88,0.422267266,0.280082028,0.574972862,0.729769715,0.417098808
89,0.881530643,0.181894844,0.689339053,0.656580667,0.791643342
90,0.264741099,0.410360118,0.917383604,0.479010458,0.827355062
91,0.843001958,0.517510054,0.08278375,0.536400363,0.93213706
92,0.112240186,0.11324681,0.228921341,0.497984385,0.604432322
93,0.117365467,0.086856133,0.180195633,0.158821272,0.446614019
94,0.596044286,0.851882674,0.3880308,0.481368221,0.958096654
95,0.144670295,0.837971491,0.624327848,0.94867111,0.77345652
96,0.546457298,0.283925715,0.16577325,0.11589181,0.733807503
97,0.349667847,0.340252114,0.51708634,0.38777993,0.879207378
98,0.210824406,0.983460016,0.135210036,0.841076511,0.160754764
99,0.347368193,0.55502918,0.743741001,0.975033435,0.544734485
